"id_cliente_servico";"dia_vencimento";"valor";"plano";"meses_contrato";"qtd_atendimento";"qtd_ordemservico";"cidade";"contrato"
169122;dia 7;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;5;1;Águas Lindas de Goiás;cancelado
169129;dia 9;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;5;1;Brasília;cancelado
169132;dia 10;139.9;(Migrado - SKILL.NET) 350MEGA_BRAZ_DESC20;9.0;13;2;Padre Bernardo;cancelado
169144;dia 4;19.9;Telefonia - Lig Facil Basic;8.0;3;1;Águas Lindas de Goiás;cancelado
169145;dia 6;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;24;3;Novo Gama;cancelado
169157;dia 5;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;15;2;Águas Lindas de Goiás;cancelado
169166;dia 4;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;20;5;Valparaíso de Goiás;cancelado
169170;dia 7;139.9;TI9-FIBRA-300-MEGA_DESC20;9.0;18;3;Brasília;cancelado
169172;dia 7;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;6;1;Águas Lindas de Goiás;cancelado
169179;dia 7;139.9;ALLREDE-DP-E-DF-300MEGA-FIBRA_DESC20;9.0;13;1;Brasília;cancelado
169182;dia 5;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;23;4;Valparaíso de Goiás;cancelado
169194;dia 9;139.9;ALLREDE-DP-300MEGA-FIBRA-DESC20;9.0;11;2;Águas Lindas de Goiás;cancelado
169195;dia 93;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;10;2;Valparaíso de Goiás;cancelado
169200;dia 4;119.9;(Migrado - OBTI) 350MEGA - FTTH - SANTA MARIA;9.0;13;5;Brasília;cancelado
169201;dia 4;139.9;Ti5-FIBRA-300-MEGA_DESC20;9.0;24;3;Águas Lindas de Goiás;cancelado
169206;dia 7;119.9;(Migrado - OBTI) 350MEGA - FTTH - NOVO GAMA;9.0;11;3;Novo Gama;cancelado
169218;dia 5;169.9;Ti5-Combo-VIP-400-MEGA_DESC20;9.0;51;1;Águas Lindas de Goiás;cancelado
169224;dia 9;139.9;(Migrado - SKILL.NET) 350MEGA_VAL_DESC20;9.0;4;2;Luziânia;cancelado
